"Date","Price","Open","High","Low","Change %"
"09/03/2021","-0.209","-0.119","-0.119","-0.209","0.00%"
"09/02/2021","-0.209","-0.119","-0.119","-0.209","90.87%"
"09/01/2021","-0.109","-0.119","-0.109","-0.119","0.00%"
"08/31/2021","-0.109","-0.119","-0.109","-0.119","-7.98%"
"08/30/2021","-0.119","-0.119","-0.119","-0.119","0.00%"
"08/29/2021","-0.119","-0.119","-0.119","-0.119","-43.06%"
"08/27/2021","-0.209","-0.124","-0.119","-0.209","-0.95%"
"08/26/2021","-0.211","-0.124","-0.124","-0.211","0.00%"
"08/25/2021","-0.211","-0.124","-0.124","-0.211","0.00%"
"08/24/2021","-0.211","-0.124","-0.124","-0.211","0.00%"
"08/23/2021","-0.211","-0.124","-0.124","-0.211","70.16%"
"08/22/2021","-0.124","-0.124","-0.124","-0.124","-40.67%"
"08/20/2021","-0.209","-0.119","-0.119","-0.209","75.63%"
"08/19/2021","-0.119","-0.149","-0.119","-0.209","-46.88%"
"08/18/2021","-0.224","-0.149","-0.149","-0.224","50.34%"
"08/17/2021","-0.149","-0.149","-0.149","-0.224","-33.48%"
"08/16/2021","-0.224","-0.149","-0.149","-0.224","50.34%"
"08/15/2021","-0.149","-0.149","-0.149","-0.149","30.70%"
"08/13/2021","-0.114","-0.109","-0.109","-0.119","8.57%"
"08/12/2021","-0.105","-0.109","-0.105","-0.109","0.96%"
"08/11/2021","-0.104","-0.109","-0.104","-0.109","0.48%"
"08/10/2021","-0.104","-0.109","-0.104","-0.109","-5.05%"
"08/09/2021","-0.109","-0.109","-0.109","-0.109","2.83%"
"08/06/2021","-0.106","-0.114","-0.106","-0.114","0.00%"
"08/05/2021","-0.106","-0.114","-0.106","-0.114","0.00%"
"08/04/2021","-0.106","-0.114","-0.106","-0.114","-0.47%"
"08/03/2021","-0.106","-0.114","-0.106","-0.114","-6.58%"
"08/02/2021","-0.114","-0.109","-0.109","-0.114","15.15%"
"07/30/2021","-0.099","-0.109","-0.099","-0.109","0.51%"
"07/29/2021","-0.098","-0.109","-0.098","-0.109","0.00%"
"07/28/2021","-0.098","-0.109","-0.098","-0.109","0.00%"
"07/27/2021","-0.098","-0.109","-0.098","-0.109","-9.63%"
"07/26/2021","-0.109","-0.104","-0.098","-0.109","4.81%"
"07/25/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"07/21/2021","-0.104","-0.124","-0.104","-0.124","-0.95%"
"07/20/2021","-0.105","-0.124","-0.105","-0.124","-1.41%"
"07/19/2021","-0.106","-0.124","-0.106","-0.124","-14.11%"
"07/18/2021","-0.124","-0.124","-0.124","-0.124","16.43%"
"07/16/2021","-0.106","-0.106","-0.106","-0.106","-14.11%"
"07/15/2021","-0.124","-0.099","-0.097","-0.124","30.53%"
