Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
6/10/22,3591.13,18.4
6/9/22,3614.81,18.61
6/8/22,3605.62,18.58
6/7/22,3634.42,18.73
6/6/22,3599.58,18.73
6/3/22,3662.4,18.37
6/2/22,3670.77,18.41
6/1/22,3669.06,18.5
5/31/22,3676.9,19.45
5/27/22,3739.86,18.9
5/26/22,3739.2,18.97
5/25/22,3752.9,19.68
5/24/22,3742.92,19.67
5/23/22,3675.1,18.75
5/20/22,3731.43,18.64
5/19/22,3690.93,18.44
5/18/22,3683.9,18.46
5/17/22,3614.22,17.24
5/16/22,3654.35,17.92
5/13/22,3652.99,17.88
5/12/22,3702.48,17.75
5/11/22,3706.96,17.84
5/10/22,3646.15,17.03
5/9/22,3614.71,16.98
5/6/22,3584.14,16.94
5/5/22,3637.36,16.89
5/4/22,3727.44,15.7
5/3/22,3710.94,17.03
5/2/22,3690.25,17
4/29/22,3747.82,17.55
4/28/22,3792.76,17.85
4/27/22,3789.49,17.87
4/26/22,3834.06,17.98
4/25/22,3797.37,17.59
4/22/22,3762.7,18.1
4/21/22,3781.42,18.2
4/20/22,3809.97,18.36
4/19/22,3739.04,17.04
4/18/22,3765.99,17.11
4/14/22,3787.65,17.12
4/13/22,3857.18,17.76
4/12/22,3849.4,18.17
4/11/22,3853.19,20.22
4/8/22,3905.66,20.56
4/7/22,3949.92,21.72
4/6/22,3980.61,21.67
4/5/22,4012.54,21.62
4/4/22,4099.72,21.07
4/1/22,4123.65,21.07
3/31/22,4113.61,21.29
3/30/22,4102.69,21.41
3/29/22,4075.73,21.37
3/28/22,4043.2,21.36
3/25/22,4011.96,21.38
3/24/22,4068.28,21.67
3/23/22,4100.84,21.98
3/22/22,4020.34,20.99
3/21/22,4065.23,20.87
3/18/22,4156.27,19.93
3/17/22,4112.28,19.94
3/16/22,4144.16,19.93
3/15/22,4110.23,19.75
3/14/22,4116.88,19.75
3/11/22,4208.71,18.79
3/10/22,4197.15,18.75
3/9/22,4249.84,19.23
3/8/22,4290.13,19.31
3/7/22,4335.91,19.08
3/4/22,4366.1,19.09
3/3/22,4294.59,18.67
3/2/22,4251.17,18.48
3/1/22,4394.93,15.67
2/28/22,4345.61,15.86
2/25/22,4254.25,14.87
2/24/22,4254.95,15.14
2/23/22,4249.81,15.13
2/22/22,4307.58,14.81
2/18/22,4297.26,14.81
2/17/22,4256.66,14.56
2/16/22,4226.02,14.34
2/15/22,4203.49,14.21
2/14/22,4246.92,14
2/11/22,4299.44,15.77
2/10/22,4236.03,15.08
2/9/22,4301.51,14.87
2/8/22,4292.61,15.04
2/7/22,4321.8,14.98
2/4/22,4318.46,15.05
2/3/22,4380.64,14.77
2/2/22,4412.46,14.79
2/1/22,4397.12,14.73
1/31/22,4410.07,14.78
1/28/22,4427.86,15.18
1/27/22,4426.99,15.18
1/26/22,4354.27,14.25
1/25/22,4403.23,13.97
1/24/22,4412.08,14.67
1/21/22,4443.9,14.56
1/20/22,4396.81,14.23
1/19/22,4371.09,14.6
1/18/22,4340.52,14.38
